"Gold Plated Necklace",,adorify,jewellery,NECKLACE-20,"20 Inch Chain",2399.00,,1,"length:20|style:classic|material:goldplated|type:necklace",,,,NECKLACE-20-BC,5,"Jewelry Details>>24k gold plated premium quality|Elegant classic design|Hypoallergenic material##Care Instructions>>Store in jewelry box|Avoid water contact|Clean with soft cloth","20 inch gold plated necklace"
"Winter Wool Sweater",winter-wool-sweater,other,"sweater winter-wear",SWEATER-GRY-S,"Grey - Small",1799.00,1399.00,1,"color:grey|size:S|material:wool|style:casual","percentage",22,1,SWEATER-GRY-S-BC,4,"Warmth & Comfort>>100% wool warm and cozy|Soft knit texture|Perfect for cold weather##Care Instructions>>Hand wash cold|Lay flat to dry|Do not wring","Grey wool sweater in small size"
"Winter Wool Sweater",,other,"sweater winter-wear",SWEATER-GRY-M,"Grey - Medium",1799.00,1399.00,1,"color:grey|size:M|material:wool|style:casual","percentage",22,1,SWEATER-GRY-M-BC,4,"Warmth & Comfort>>100% wool warm and cozy|Soft knit texture|Perfect for cold weather##Care Instructions>>Hand wash cold|Lay flat to dry|Do not wring","Grey wool sweater in medium size"
"Winter Wool Sweater",,other,"sweater winter-wear",SWEATER-GRY-L,"Grey - Large",1799.00,1399.00,1,"color:grey|size:L|material:wool|style:casual","percentage",22,1,SWEATER-GRY-L-BC,4,"Warmth & Comfort>>100% wool warm and cozy|Soft knit texture|Perfect for cold weather##Care Instructions>>Hand wash cold|Lay flat to dry|Do not wring","Grey wool sweater in large size"
"Winter Wool Sweater",,other,"sweater winter-wear",SWEATER-BLK-S,"Black - Small",1899.00,,1,"color:black|size:S|material:wool|style:casual",,,,SWEATER-BLK-S-BC,4,"Warmth & Comfort>>100% wool warm and cozy|Soft knit texture|Perfect for cold weather##Care Instructions>>Hand wash cold|Lay flat to dry|Do not wring","Black wool sweater in small size"
"Winter Wool Sweater",,other,"sweater winter-wear",SWEATER-BLK-M,"Black - Medium",1899.00,,1,"color:black|size:M|material:wool|style:casual",,,,SWEATER-BLK-M-BC,4,"Warmth & Comfort>>100% wool warm and cozy|Soft knit texture|Perfect for cold weather##Care Instructions>>Hand wash cold|Lay flat to dry|Do not wring","Black wool sweater in medium size"
"Winter Wool Sweater",,other,"sweater winter-wear",SWEATER-BLK-L,"Black - Large",1899.00,,1,"color:black|size:L|material:wool|style:casual",,,,SWEATER-BLK-L-BC,4,"Warmth & Comfort>>100% wool warm and cozy|Soft knit texture|Perfect for cold weather##Care Instructions>>Hand wash cold|Lay flat to dry|Do not wring","Black wool sweater in large size"
"Casual Canvas Sneakers",casual-canvas-sneakers,other,footwear-1,SNEAKER-WHT-7,"White - Size 7",1299.00,999.00,1,"color:white|size:7|material:canvas|style:casual","percentage",23,1,SNEAKER-WHT-7-BC,5,"Casual Style>>Canvas upper rubber sole|Comfortable daily wear|Versatile styling##Care Instructions>>Machine wash cold|Air dry only|Remove laces before washing","White canvas sneakers size 7"
"Casual Canvas Sneakers",,other,footwear-1,SNEAKER-WHT-8,"White - Size 8",1299.00,999.00,1,"color:white|size:8|material:canvas|style:casual","percentage",23,1,SNEAKER-WHT-8-BC,5,"Casual Style>>Canvas upper rubber sole|Comfortable daily wear|Versatile styling##Care Instructions>>Machine wash cold|Air dry only|Remove laces before washing","White canvas sneakers size 8"
"Casual Canvas Sneakers",,other,footwear-1,SNEAKER-WHT-9,"White - Size 9",1299.00,999.00,1,"color:white|size:9|material:canvas|style:casual","percentage",23,1,SNEAKER-WHT-9-BC,5,"Casual Style>>Canvas upper rubber sole|Comfortable daily wear|Versatile styling##Care Instructions>>Machine wash cold|Air dry only|Remove laces before washing","White canvas sneakers size 9"
"Casual Canvas Sneakers",,other,footwear-1,SNEAKER-BLK-7,"Black - Size 7",1299.00,,1,"color:black|size:7|material:canvas|style:casual",,,,SNEAKER-BLK-7-BC,5,"Casual Style>>Canvas upper rubber sole|Comfortable daily wear|Versatile styling##Care Instructions>>Machine wash cold|Air dry only|Remove laces before washing","Black canvas sneakers size 7"
"Casual Canvas Sneakers",,other,footwear-1,SNEAKER-BLK-8,"Black - Size 8",1299.00,,1,"color:black|size:8|material:canvas|style:casual",,,,SNEAKER-BLK-8-BC,5,"Casual Style>>Canvas upper rubber sole|Comfortable daily wear|Versatile styling##Care Instructions>>Machine wash cold|Air dry only|Remove laces before washing","Black canvas sneakers size 8"
"Casual Canvas Sneakers",,other,footwear-1,SNEAKER-BLK-9,"Black - Size 9",1299.00,,1,"color:black|size:9|material:canvas|style:casual",,,,SNEAKER-BLK-9-BC,5,"Casual Style>>Canvas upper rubber sole|Comfortable daily wear|Versatile styling##Care Instructions>>Machine wash cold|Air dry only|Remove laces before washing","Black canvas sneakers size 9"
"Silver Bracelet Set",silver-bracelet-set,adorify,jewellery,BRACELET-S,"Small - 6.5 Inch",899.00,699.00,1,"size:small|length:6.5|material:silver|type:bracelet","percentage",22,1,BRACELET-S-BC,8,"Jewelry Set>>Sterling silver with charms|Adjustable sizing|Complete bracelet set##Care Instructions>>Store in jewelry box|Clean with silver polish|Avoid harsh chemicals","Small silver bracelet set 6.5 inch"
"Silver Bracelet Set",,adorify,jewellery,BRACELET-M,"Medium - 7 Inch",899.00,699.00,1,"size:medium|length:7|material:silver|type:bracelet","percentage",22,1,BRACELET-M-BC,8,"Jewelry Set>>Sterling silver with charms|Adjustable sizing|Complete bracelet set##Care Instructions>>Store in jewelry box|Clean with silver polish|Avoid harsh chemicals","Medium silver bracelet set 7 inch"
"Silver Bracelet Set",,adorify,jewellery,BRACELET-L,"Large - 7.5 Inch",899.00,,1,"size:large|length:7.5|material:silver|type:bracelet",,,,BRACELET-L-BC,8,"Jewelry Set>>Sterling silver with charms|Adjustable sizing|Complete bracelet set##Care Instructions>>Store in jewelry box|Clean with silver polish|Avoid harsh chemicals","Large silver bracelet set 7.5 inch"
"Party Wear Dress",party-wear-dress,other,dress,DRESS-RED-S,"Red - Small",2999.00,2399.00,1,"color:red|size:S|style:party|material:polyester","percentage",20,1,DRESS-RED-S-BC,3,"Party Ready>>Elegant party wear design|Premium fabric quality|Perfect for special events##Care Instructions>>Dry clean recommended|Iron on low heat|Store on hanger","Red party dress in small size"
"Party Wear Dress",,other,dress,DRESS-RED-M,"Red - Medium",2999.00,2399.00,1,"color:red|size:M|style:party|material:polyester","percentage",20,1,DRESS-RED-M-BC,3,"Party Ready>>Elegant party wear design|Premium fabric quality|Perfect for special events##Care Instructions>>Dry clean recommended|Iron on low heat|Store on hanger","Red party dress in medium size"
"Party Wear Dress",,other,dress,DRESS-RED-L,"Red - Large",2999.00,2399.00,1,"color:red|size:L|style:party|material:polyester","percentage",20,1,DRESS-RED-L-BC,3,"Party Ready>>Elegant party wear design|Premium fabric quality|Perfect for special events##Care Instructions>>Dry clean recommended|Iron on low heat|Store on hanger","Red party dress in large size"
"Party Wear Dress",,other,dress,DRESS-BLK-S,"Black - Small",3199.00,,1,"color:black|size:S|style:party|material:polyester",,,,DRESS-BLK-S-BC,3,"Party Ready>>Elegant party wear design|Premium fabric quality|Perfect for special events##Care Instructions>>Dry clean recommended|Iron on low heat|Store on hanger","Black party dress in small size"
"Party Wear Dress",,other,dress,DRESS-BLK-M,"Black - Medium",3199.00,,1,"color:black|size:M|style:party|material:polyester",,,,DRESS-BLK-M-BC,3,"Party Ready>>Elegant party wear design|Premium fabric quality|Perfect for special events##Care Instructions>>Dry clean recommended|Iron on low heat|Store on hanger","Black party dress in medium size"
"Party Wear Dress",,other,dress,DRESS-BLK-L,"Black - Large",3199.00,,1,"color:black|size:L|style:party|material:polyester",,,,DRESS-BLK-L-BC,3,"Party Ready>>Elegant party wear design|Premium fabric quality|Perfect for special events##Care Instructions>>Dry clean recommended|Iron on low heat|Store on hanger","Black party dress in large size"
"Leather Handbag",leather-handbag,other,"bags accessories",HANDBAG-BRN-OS,"Brown - One Size",3999.00,3199.00,1,"color:brown|material:leather|size:onesize|type:handbag","percentage",20,1,HANDBAG-BRN-OS-BC,2,"Premium Quality>>Genuine leather premium quality|Spacious compartments|Durable construction##Care Instructions>>Clean with leather conditioner|Store in dust bag|Avoid water exposure","Brown leather handbag one size"
"Diamond Stud Earrings",diamond-stud-earrings,adorify,jewellery,EARRING-DIA-OS,"Diamond - One Size",9999.00,,1,"material:diamond|type:stud|size:onesize|style:classic",,,,EARRING-DIA-OS-BC,1,"Luxury Jewelry>>Real diamond premium jewelry|Classic stud design|Elegant sparkle##Care Instructions>>Store in jewelry box|Clean with soft brush|Professional cleaning recommended","Diamond stud earrings one size"
"Winter Jacket",winter-jacket,other,"jackets winter-wear",JACKET-BLK-L,"Black - Large",4999.00,3999.00,1,"color:black|size:L|material:synthetic|style:winter","percentage",20,1,JACKET-BLK-L-BC,2,"Winter Protection>>Waterproof warm winter jacket|Insulated lining|Wind resistant##Care Instructions>>Machine wash cold|Tumble dry low|Do not iron directly","Black winter jacket large size"
"Sports Water Bottle",sports-water-bottle,other,"water-bottle accessories",BOTTLE-BLU-750,"Blue - 750ml",499.00,399.00,1,"color:blue|capacity:750ml|material:stainless|type:bottle","percentage",20,1,BOTTLE-BLU-750-BC,10,"Sports Features>>Insulated stainless steel|Leak-proof design|Easy grip handle##Care Instructions>>Hand wash recommended|Do not microwave|BPA free material","Blue sports water bottle 750ml"
